question_number,question_type,question,threshold,top1_similarity,top1_title,top1_child_id,top1_parent_id,top1_url,decision,threshold_correct,answer,is_fallback,context_parent_count,source_parent_ids,source_titles,source_urls,embedding_seconds,search_seconds,generation_seconds,total_seconds
11,positive,Prematüre bebeklerde kronik akciğer hastalığı görülebilir mi?,0.57,0.7268111109733582,Prematüre Bebeklerin Akciğer Sorunları,doc_0194_parent_001_child_001,doc_0194_parent_001,https://www.memorial.com.tr/saglik-rehberi/premature-bebeklerin-akciger-sorunlari,ACCEPT,True,"Prematüre bebeklerde kronik akciğer hastalığı (BPD) görülebilir. Dokümanda belirtiler şöyle verilmiştir: ""Kronik akciğer hastalığı nedir? Erken doğan her çocukta olur mu?"" ve ""Kronik akciğer hastalığı gelişme sıklığı <1000 gr doğan bebeklerde % 30, 501- 750 gr doğan bebeklerde ise %52 dolaylarındadır."" Bu bilgiler, prematüre bebeklerde kronik akciğer hastalığı olabileceğini göstermektedir.",False,3,doc_0194_parent_001 | doc_0247_parent_001 | doc_0453_parent_002,Prematüre Bebeklerin Akciğer Sorunları | Dünyaya Erken Merhaba Diyenler | Gebelik Zehirlenmesi (Preeklampsi) Nedir? Belirtileri ve Nedenleri,https://www.memorial.com.tr/saglik-rehberi/premature-bebeklerin-akciger-sorunlari | https://www.memorial.com.tr/saglik-rehberi/dunyaya-erken-merhaba-diyenler | https://www.memorial.com.tr/saglik-rehberi/gebelik-zehirlenmesi-preeklampsi,0.7268014999572188,0.00897710002027452,83.79614580003545,84.56225229997654
12,positive,Kemik erimesi riskini artıran faktörler nelerdir?,0.57,0.6675316691398621,Kemik Erimesine Karşı Önleminizi Genç Yaşlarda Alın,doc_0049_parent_001_child_003,doc_0049_parent_001,https://www.memorial.com.tr/saglik-rehberi/kemik-erimesine-karsi-onleminizi-genc-yaslarda-alin,ACCEPT,True,"Kemik erimesi riskini artıran faktörler şu şekilde listelenmiştir:

1. İleri yaş
2. Cinsiyet (kadınlarda daha sık görülüyor)
3. Aile öyküsü
4. Düşmeler
5. Uzun süre kortizon içeren ilaç kullanımı
6. Romatoid artrit
7. Aşırı alkol tüketimi
8. Sigara içilemi
9. Düşük beden kitle indeksi
10. Yetersiz kalsiyum alımı
11. D vitamini yetmezliği
12. Hareketsizlik
13. Menopoza girdikten sonra
14. Boyunuz 3 santimetreden fazla kısaldı
15. Vücut kütle indeksiniz 19 kg/m²'nin altında
16. Günlük 10 dakikadan az güneş ışığına maruz kalmışsınız
17. Süt veya süt ürünleri tüketiminiz yetersiz mi?",False,2,doc_0049_parent_001 | doc_0275_parent_001,Kemik Erimesine Karşı Önleminizi Genç Yaşlarda Alın | Osteoporoza Karşı,https://www.memorial.com.tr/saglik-rehberi/kemik-erimesine-karsi-onleminizi-genc-yaslarda-alin | https://www.memorial.com.tr/saglik-rehberi/osteoporoza-karsi,0.6817501001060009,0.01647240004967898,28.523869399912655,29.234958199900575
13,positive,Balık tüketmenin sağlığa faydaları nelerdir?,0.57,0.7483547329902649,Balık yemenin faydaları nelerdir?,doc_0467_parent_001_child_001,doc_0467_parent_001,https://www.memorial.com.tr/saglik-rehberi/balik-yemenin-faydalari-nelerdir,ACCEPT,True,"Balık tüketmenin sağlığa faydaları şunlardır:

1. **Bağışıklık sistemini korur**: Balıkta bulunan omega-3 yağ asitleri, bağışıklık sistemini güçlendirir ve iltihaplanmayı önler.

2. **Zeka gelişimini destekler**: Balıkta bulunan omega-3 yağ asitleri, özellikle çocuklar için beyin gelişimini ve sinir sisteminin gelişimini hızlandırır.

3. **Kemik ve kas sağlığını korur**: Balıkta bulunan protein ve besin değerleri, kemiklerin güçlü ve sağlıklı kalmasını sağlar.

4. **Depresyonun zararlı etkilerini yok eder**: Balık tüketimi, depresyonun gelişimini yavaşlatır.

5. **Selenyum ve D vitamini açısından zengin**: Balık, selenyum ve D vitamini açısından zengin bir besin kaynağıdır. Selenyum bağışıklık sistemini güçlendirirken, D vitamini kemiklerin ve dişlerin sağlıklı kalmasına yardımcı olur.

6. **Protein kaynağıdır**: Balık, yüksek protein içeren besin kaynağıdır. Protein, büyüme, bağışıklık ve vücut fonksiyonlarının korunması için önemlidir.

7. **Omega-3 yağ asitleri sağlar**: Balıkta bulunan omega-3 yağ asitleri, görme, kavrama ve motor becerilerini geliştirir ve beyin gelişimini destekler.

8. **Ç",False,3,doc_0467_parent_001 | doc_0467_parent_003 | doc_0467_parent_002,Balık yemenin faydaları nelerdir? | Balık yemenin faydaları nelerdir? | Balık yemenin faydaları nelerdir?,https://www.memorial.com.tr/saglik-rehberi/balik-yemenin-faydalari-nelerdir | https://www.memorial.com.tr/saglik-rehberi/balik-yemenin-faydalari-nelerdir | https://www.memorial.com.tr/saglik-rehberi/balik-yemenin-faydalari-nelerdir,0.6672360999509692,0.00932069995906204,73.12724359997083,73.82275910000317
14,positive,Emilim bozukluğu nedir ve hangi belirtilere yol açabilir?,0.57,0.7821414470672607,Emilim Bozukluğu Nedir? Belirtileri Nelerdir?,doc_0367_parent_002_child_004,doc_0367_parent_002,https://www.memorial.com.tr/hastaliklar/emilim-bozuklugu-nedir-belirtileri-nelerdir,ACCEPT,True,"Emilim bozukluğu, besin maddelerinin vücutta etkili bir şekilde emilmesini engelleyen bir sindirim bozukluğudur. Bu bozukluk, ince bağırsakta besinlerin tam olarak sindirilememesi veya emilmesi sonucu ortaya çıkar. Emilim bozukluğu, karın ağrısı, karın bölgesinde şişkinlik ve aşırı gaz oluşumu, mide bulantısı ve kusma, ishal, yağlı dışkılama, aşırı kilo kaybı, kas erimesi, sinirlilik, ilgisizlik ve yorgunluk gibi belirtilere yol açabilir.",False,2,doc_0367_parent_002 | doc_0367_parent_001,Emilim Bozukluğu Nedir? Belirtileri Nelerdir? | Emilim Bozukluğu Nedir? Belirtileri Nelerdir?,https://www.memorial.com.tr/hastaliklar/emilim-bozuklugu-nedir-belirtileri-nelerdir | https://www.memorial.com.tr/hastaliklar/emilim-bozuklugu-nedir-belirtileri-nelerdir,0.7408182999351993,0.016004499979317188,25.283713100012392,26.054418599931523
15,positive,Alerji nedir ve alerjik belirtiler nelerdir?,0.57,0.6739442348480225,Alerji,doc_0325_parent_001_child_002,doc_0325_parent_001,https://www.memorial.com.tr/saglik-rehberi/alerji,ACCEPT,True,"Alerji, vücudun gösterdiği normal tepkinin aşırı olması şeklinde tanımlanabilir. Alerjik belirtiler, tutulan hedef organa bağlı olarak gelişir ve şu şekilde listelenir:  
- Burun tıkanıklığı  
- Sabahları hapşırık krizleri  
- Burun akıntısı  
- Gözlerde yanma – batma  
- Geniz akıntısı  
- Öksürük  
- Nefes darlığı  
- Hırıltı  
- Kaşıntı  
- Döküntü  
- Dudakta – dilde şişme  
- Tekrarlayan orta kulak iltihapları  
- Sinüzit.",False,3,doc_0325_parent_001 | doc_0293_parent_001 | doc_0245_parent_001,Alerji | Alerjik Hastalıklar İklim Değişikliği İle Yaygınlaşıyor | Çocuğunuzu Bahar Alerjilerinden Uzak Tutun,https://www.memorial.com.tr/saglik-rehberi/alerji | https://www.memorial.com.tr/saglik-rehberi/alerjik-hastaliklar-iklim-degisikligi-ile-yayginlasiyor | https://www.memorial.com.tr/saglik-rehberi/cocugunuzu-bahar-alerjilerinden-uzak-tutun,0.6420021000085399,0.015488100005313754,81.4730697000632,82.15577880002093
16,positive,İç kanamanın belirtileri nelerdir?,0.57,0.8258857131004333,İç Kanama Nedir? İç Kanama Belirtileri Nelerdir?,doc_0375_parent_001_child_001,doc_0375_parent_001,https://www.memorial.com.tr/saglik-rehberi/ic-kanama-belirtileri,ACCEPT,True,"İç kanamanın belirtileri şunlardır:

- İç kanamanın olduğu yerde ağrı
- Kanama bölgesinde morarma
- Göğüs boşluğu, karın boşluğu ve kaslarda ağrı
- Kanamanın yansıması olarak kusmukta, dışkıda, idrarda veya vajinada kanama
- Nefes darlığı
- Kan kaybına bağlı ciltte solgunluk
- Baş dönmesi
- Görme sorunları ya da çift görme
- Bilinç kaybı
- Halsizlik ve yorgunluk
- Düşük kan basıncı
- Hafıza kaybı
- Mide bulantısı ve karın ağrısı
- Kan kusmak
- Göz, burun ya da kulaktan kan sızması
- Organ yetmezliği
- Nöbet ve koma",False,3,doc_0375_parent_001 | doc_0375_parent_002 | doc_0375_parent_003,İç Kanama Nedir? İç Kanama Belirtileri Nelerdir? | İç Kanama Nedir? İç Kanama Belirtileri Nelerdir? | İç Kanama Nedir? İç Kanama Belirtileri Nelerdir?,https://www.memorial.com.tr/saglik-rehberi/ic-kanama-belirtileri | https://www.memorial.com.tr/saglik-rehberi/ic-kanama-belirtileri | https://www.memorial.com.tr/saglik-rehberi/ic-kanama-belirtileri,0.5888718999922276,0.007169199991039932,62.7711968999356,63.38195120007731
17,positive,Antibiyotikler ne işe yarar?,0.57,0.7951251864433289,Antibiyotik Nedir? Antibiyotik Ne İşe Yarar?,doc_0192_parent_001_child_003,doc_0192_parent_001,https://www.memorial.com.tr/saglik-rehberi/antibiyotikler-doktor-kontrolunde-kullanilmali,ACCEPT,True,"Antibiyotikler, bakterilerin çoğalmasını durdurmak veya öldürmek için tasarlanmış antimikrobiyal ilaçlardır. Bu ilaçlar, özellikle bakterilerin neden olduğu enfeksiyonlarda kullanılır. Antibiyotikler, enfeksiyonun belirtilerini azaltır, iyileşme sürecini hızlandırır ve enfeksiyonun başkalarına yayılmasını önler. Antibiyotikler, sadece bakterilerin neden olduğu enfeksiyonlarda etkilidir. Virüslerin neden olduğu enfeksiyonlar için yararlı değildir.",False,3,doc_0192_parent_001 | doc_0315_parent_001 | doc_0192_parent_002,Antibiyotik Nedir? Antibiyotik Ne İşe Yarar? | Antibiyotik Nedir? Antibiyotik Ne İşe Yarar? | Antibiyotik Nedir? Antibiyotik Ne İşe Yarar?,https://www.memorial.com.tr/saglik-rehberi/antibiyotikler-doktor-kontrolunde-kullanilmali | https://www.memorial.com.tr/saglik-rehberi/antibiyotik-nedir | https://www.memorial.com.tr/saglik-rehberi/antibiyotikler-doktor-kontrolunde-kullanilmali,0.6382603999227285,0.05868970009032637,71.92349200008903,72.64186059997883
18,positive,Kolera nasıl bulaşır ve belirtileri nelerdir?,0.57,0.8328015804290771,"Kolera Nedir? Kolera Belirtileri Nelerdir, Nasıl Bulaşır?",doc_0301_parent_001_child_003,doc_0301_parent_001,https://www.memorial.com.tr/hastaliklar/kolera-nedir-nasil-bulasir,ACCEPT,True,"Kolera, vibrio cholerae bakterisiyle kontamine olmuş yiyecek veya suyun tüketilmesiyle oluşur. Kolera bulaşması, dışkı yoluyla gerçekleşir. Enfekte olan kişinin dışkısından bulaşan yiyecek veya su, bulaşmayı sağlar.

Kolera belirtileri şunlardır:
- Bol sulu ishal
- Kusma
- Karın ve bacaklarda kramp
- Vücutta aşırı sıvı kaybı
- Şok
- Ağız kuruluğu
- İdrar çıkışında azalma
- Huzursuzluk
- Sinirlilik
- Kan basıncının düşmesi
- Cilt mukozalarında kuruma
- Cildin elastikiyetini kaybetmesi
- Kalp atışının hızlanması
- Gözlerin çukurlaşması",False,3,doc_0301_parent_001 | doc_0301_parent_003 | doc_0200_parent_001,"Kolera Nedir? Kolera Belirtileri Nelerdir, Nasıl Bulaşır? | Kolera Nedir? Kolera Belirtileri Nelerdir, Nasıl Bulaşır? | Kolit ve Ülseratif Kolit Nedir? Nedenleri, Belirtileri ve Tedavisi",https://www.memorial.com.tr/hastaliklar/kolera-nedir-nasil-bulasir | https://www.memorial.com.tr/hastaliklar/kolera-nedir-nasil-bulasir | https://www.memorial.com.tr/hastaliklar/kolit-ve-ulseratif-kolit-nedir,0.6501662998925894,0.007431600010022521,73.53445030003786,74.20855739992112
19,positive,Depresyonun belirtileri nelerdir?,0.57,0.8376100063323975,Depresyon Nedir? Depresyon Belirtileri Nelerdir?,doc_0022_parent_001_child_002,doc_0022_parent_001,https://www.memorial.com.tr/saglik-rehberi/depresyon-nedir,ACCEPT,True,"Depresyonun belirtileri şunlardır:

- Sürekli üzgün, mutsuz ve umutsuz hissetme  
- Keder ve umutsuzluk içinde olma  
- Depresif ruh hali  
- İlgi duyulan ve zevk alınan aktivitelere karşı ilgi kaybı  
- Uyku sorunları (uykuya dalamama, sık uyanma)  
- İştahta artış ya da azalma  
- Her şeyi ağırdan alarak yapmaya başlama  
- Konsantrasyon eksikliği  
- Başkalarına karşı sinirli olma ve hoşgörüsüz davranma  
- Kendini değersiz hissetme  
- Cinsel istekte azalma  
- Enerji düşüklüğü  
- İntihar gibi kendisine zarar verme düşüncelerine sahip olma  
- Rutin olarak yapılan işleri yerine getirmeme",False,3,doc_0022_parent_001 | doc_0022_parent_002 | doc_0220_parent_001,Depresyon Nedir? Depresyon Belirtileri Nelerdir? | Depresyon Nedir? Depresyon Belirtileri Nelerdir? | Kronik yorgunluk sendromu nedir? Belirtileri ve tedavisi nedir?,https://www.memorial.com.tr/saglik-rehberi/depresyon-nedir | https://www.memorial.com.tr/saglik-rehberi/depresyon-nedir | https://www.memorial.com.tr/hastaliklar/kronik-yorgunluk-sendromu-nedir-belirtileri-ve-tedavisi-nedir,0.604521399945952,0.012031599995680153,96.8708851999836,97.5071133999154
20,positive,Zahter nedir ve ne amaçla kullanılır?,0.57,0.6627798080444336,Zahter Nedir? Zahter Faydaları Nelerdir?,doc_0438_parent_001_child_001,doc_0438_parent_001,https://www.memorial.com.tr/saglik-rehberi/zahterin-faydalari-nelerdir,ACCEPT,True,"Zahter, ballıbabagiller (Lamiaceae) familyasının Tymbra spicata türüne ait, Filistin ve Cezayir başta olmak üzere orta doğuda yetiştirilen bir bitkidir. Kuru haldeki zahter, gıda aroması, soslar, likör, parfümeri sektöründe hammadde üretimi için kullanılır. Zahter, karvakrol, timol, p-simen, y-terpinen gibi uçucu bileşenlerden oluşur ve ana uçucu bileşeni karvakroldur. Zahter, mikroorganizmaların çoğalması, vücutta enfekte olması ve hastalık yapıcı etkilerini azaltmak için antioksidan ve antibakteriyel özellikleri vardır. Ayrıca, sindirim sistemi problemlerinde destekleyici olur, mide iltihaplarını azaltır, gastrit ve ülser gibi ciddi problemlerin aşılmasına yardımcı olur. Zahter, saç dökülmesini önlemek için saç foliküllerini besler.",False,1,doc_0438_parent_001,Zahter Nedir? Zahter Faydaları Nelerdir?,https://www.memorial.com.tr/saglik-rehberi/zahterin-faydalari-nelerdir,0.6626625000499189,0.014650799916125834,13.866388700087555,14.553191900020465
21,negative,Toyota Corolla'nın motor hacmi kaç cc?,0.57,0.3313779830932617,CTO (Kronik Total Oklüzyon) tedavisi nasıl yapılır?,doc_0021_parent_001_child_002,doc_0021_parent_001,https://www.memorial.com.tr/tedavi-yontemleri/cto-kronik-total-okluzyon-tedavisi-nasil-yapilir,REJECT,True,Bu sorunun cevabı dokümanlarımda yer almamaktadır,True,0,,,,0.5057044998975471,0.011245300062000751,0.0,0.5169858000008389
22,negative,Python'da bir liste nasıl sıralanır?,0.57,0.32583874464035034,Kan Grupları Nelerdir? Kan Grupları Neyi İfade Eder?,doc_0353_parent_002_child_003,doc_0353_parent_002,https://www.memorial.com.tr/saglik-rehberi/kan-gruplari,REJECT,True,Bu sorunun cevabı dokümanlarımda yer almamaktadır,True,0,,,,0.5127176999812946,0.01058889995329082,0.0,0.5233323000138626
