sentence1,sentence2,score,pair_type,topic
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,usta oyuncu yeni projesiyle ekranlara dönüyor.,0.432079,unrelated,saglik|magazin
Eskişehir ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Eskişehir için sağanak uyarısında bulundu.,0.717255,paraphrase,hava
Antalya'da iki aracın çarpışması sonucu 2 kişi yaralandı.,Antalya'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.902776,paraphrase,asayis
Cumhurbaşkanı İspanya'e resmi ziyarette bulundu.,Çin'de yapılan seçimleri muhalefet kazandı.,0.123368,unrelated,siyaset|dunya
Denizli'da sıcaklık 44 dereceye ulaştı.,İspanya'de meydana gelen depremde maddi hasar oluştu.,0.182073,unrelated,hava|dunya
"ödüllü yönetmen, Diyarbakır'da tatilde görüntülendi.",Teknoloji şirketi yeni elektrikli otomobil tanıttı.,0.123364,unrelated,magazin|teknoloji
Adana'da iki aracın çarpışması sonucu 2 kişi yaralandı.,Adana'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.895285,paraphrase,asayis
Ünlü oyuncu yeni bir aşka yelken açtı.,Ünlü oyuncu yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.867985,paraphrase,magazin
Merkez Bankası politika faizini sabit tuttu.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.059741,unrelated,ekonomi|teknoloji
Adana ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Adana için sağanak uyarısında bulundu.,0.775298,paraphrase,hava
Liderler Fransa'de düzenlenen zirvede bir araya geldi.,Fransa'deki zirvede liderler önemli konuları görüştü.,0.79641,paraphrase,siyaset
Cumhurbaşkanı Fransa'e resmi ziyarette bulundu.,ABD'de meydana gelen depremde maddi hasar oluştu.,0.138838,unrelated,siyaset|dunya
Merkez Bankası politika faizini sabit tuttu.,Kayseri'da sıcaklık 43 dereceye ulaştı.,0.171733,unrelated,ekonomi|hava
Muğla'da meydana gelen trafik kazasında 2 kişi yaralandı.,Fenerbahçe'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,0.192204,unrelated,asayis|spor
Ünlü model yeni bir aşka yelken açtı.,Ünlü model yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.843706,paraphrase,magazin
Dolar kuru güne yüzde 40 yükselişle başladı.,Borsa İstanbul günü yüzde 19 değişimle kapattı.,0.302738,related,ekonomi
Milli Eğitim Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,İngiltere iklim zirvesine ev sahipliği yapıyor.,0.052325,unrelated,siyaset|dunya
Trabzon'da meydana gelen trafik kazasında 3 kişi yaralandı.,Merkez Bankası politika faizini sabit tuttu.,0.051117,unrelated,asayis|ekonomi
Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.123161,unrelated,saglik|teknoloji
"Fenerbahçe, yıldız futbolcuyla sözleşme yeniledi.",Meteoroloji Ankara için kuvvetli yağış uyarısı yaptı.,0.10245,unrelated,spor|hava
İzmir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Bolu'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.838692,related,asayis
Diyarbakır'da meydana gelen trafik kazasında 1 kişi yaralandı.,Konya'da meydana gelen trafik kazasında 5 kişi yaralandı.,0.485631,related,asayis
Mersin ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Mersin için sağanak uyarısında bulundu.,0.657979,paraphrase,hava
Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,Teknoloji şirketi yeni işletim sistemi tanıttı.,0.146167,unrelated,siyaset|teknoloji
Muğla'da çıkan yangın itfaiye ekiplerince söndürüldü.,İzmir'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.285977,related,asayis
Gaziantep'da sıcaklık 31 dereceye ulaştı.,Meteoroloji Mersin için kuvvetli yağış uyarısı yaptı.,0.311076,related,hava
İzmir'da meydana gelen trafik kazasında 2 kişi yaralandı.,Bolu'a mevsimin ilk karı düştü.,0.229908,unrelated,asayis|hava
Borsa İstanbul günü yüzde 16 değişimle kapattı.,Borsa İstanbul günü yüzde 21 değişimle kapattı.,0.675885,related,ekonomi
"Bodrum FK, yıldız futbolcuyla sözleşme yeniledi.","Sivasspor, yıldız futbolcuyla sözleşme yeniledi.",0.770146,related,spor
Ünlü oyuncu sevgilisiyle nişanlandı.,Ünlü oyuncu mutlu haberi nişan yüzükleriyle duyurdu.,0.753542,paraphrase,magazin
Borsa İstanbul günü yüzde 22 değişimle kapattı.,Merkez Bankası politika faizini sabit tuttu.,0.203963,related,ekonomi
Mersin'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Gaziantep'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.287103,related,asayis
Usta oyuncu yeni bir aşka yelken açtı.,Usta oyuncu yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.839694,paraphrase,magazin
"Beşiktaş, sahasında Trabzonspor'yi 4-3 mağlup etti.","Beşiktaş, yıldız futbolcuyla sözleşme yeniledi.",0.222713,related,spor
Borsa İstanbul günü yüzde 1 değişimle kapattı.,Ekmek fiyatları son bir ayda yüzde 7 arttı.,0.207658,related,ekonomi
Borsa İstanbul günü yüzde 16 değişimle kapattı.,"ünlü sunucu, Denizli'da tatilde görüntülendi.",0.110396,unrelated,ekonomi|magazin
Mersin'da sıcaklık 43 dereceye ulaştı.,Diyarbakır'da sıcaklık 34 dereceye ulaştı.,0.49393,related,hava
Trabzon'a mevsimin ilk karı düştü.,sevilen komedyen eşinden boşandığını duyurdu.,0.119878,unrelated,hava|magazin
Mersin'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Sakarya'a mevsimin ilk karı düştü.,0.140313,unrelated,asayis|hava
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Hatayspor teknik direktörüyle yollarını ayırdı.,0.127217,unrelated,saglik|spor
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Hazine ve Maliye Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.274479,unrelated,saglik|siyaset
Usta oyuncu eşiyle Mersin'da tatil yaparken görüntülendi.,Usta oyuncu ve eşinin Mersin tatilinden kareler paylaşıldı.,0.957383,paraphrase,magazin
"genç oyuncu, Diyarbakır'da tatilde görüntülendi.",Merkez Bankası politika faizini sabit tuttu.,0.09231,unrelated,magazin|ekonomi
Ekmek fiyatları son bir ayda yüzde 21 arttı.,"Kasımpaşa, yıldız futbolcuyla sözleşme yeniledi.",0.093662,unrelated,ekonomi|spor
İtalya iklim zirvesine ev sahipliği yapıyor.,Antalya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.175421,unrelated,dunya|asayis
Denizli'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Muğla'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.843347,related,asayis
Kayseri ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Kayseri için sağanak uyarısında bulundu.,0.727965,paraphrase,hava
Boğaz enfeksiyonu vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri boğaz enfeksiyonu vakalarının yükseldiğini bildirdi.,0.820629,paraphrase,saglik
İzmir'da hava sıcaklığı mevsim normallerinin üzerine çıktı.,İzmir beklenenden daha sıcak bir güne uyandı.,0.715502,paraphrase,hava
genç oyuncu sürpriz bir törenle dünyaevine girdi.,Antalyaspor teknik direktörüyle yollarını ayırdı.,0.054075,unrelated,magazin|spor
Uzmanlar migren vakalarındaki artışa dikkat çekti.,Adana'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.195929,unrelated,saglik|asayis
Yıllık enflasyon yüzde 33 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 33 olarak duyurdu.,0.954966,paraphrase,ekonomi
Teknoloji şirketi yeni yapay zeka modeli tanıttı.,Uzmanlar migren vakalarındaki artışa dikkat çekti.,0.161102,unrelated,teknoloji|saglik
Japonya'de meydana gelen depremde maddi hasar oluştu.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.170497,unrelated,dunya|saglik
pop yıldızı eşinden boşandığını duyurdu.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.136205,unrelated,magazin|saglik
"Alanyaspor, yıldız futbolcuyla sözleşme yeniledi.","Eyüpspor, yıldız futbolcuyla sözleşme yeniledi.",0.870492,related,spor
Diyarbakır'da çıkan yangın itfaiye ekiplerince söndürüldü.,Meteoroloji Denizli için kuvvetli yağış uyarısı yaptı.,0.355176,unrelated,asayis|hava
İtalya'de yapılan seçimleri muhalefet kazandı.,Meteoroloji Kayseri için kuvvetli yağış uyarısı yaptı.,0.113191,unrelated,dunya|hava
"Başakşehir, yıldız futbolcuyla sözleşme yeniledi.",Konya'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.100323,unrelated,spor|asayis
ana muhalefet partisi yeni yasa teklifini meclise sundu.,Rusya iklim zirvesine ev sahipliği yapıyor.,0.00871,unrelated,siyaset|dunya
pop yıldızı sürpriz bir törenle dünyaevine girdi.,Meteoroloji İzmir için kuvvetli yağış uyarısı yaptı.,0.191763,unrelated,magazin|hava
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Teknoloji şirketi yeni yapay zeka modeli tanıttı.,0.655165,related,teknoloji
Popüler uygulama yapay zeka modeli için yeni güncelleme yayınladı.,Teknoloji şirketi yeni oyun konsolu tanıttı.,0.404912,related,teknoloji
İtalya iklim zirvesine ev sahipliği yapıyor.,"Sivasspor, sahasında Trabzonspor'yi 3-0 mağlup etti.",0.026558,unrelated,dunya|spor
İspanya'de düzenlenen genel seçimlerde sonuçlar belli oldu.,İspanya halkı sandık başına giderek yeni yönetimini seçti.,0.64984,paraphrase,dunya
Et fiyatları son bir ayda yüzde 25 arttı.,Ulaştırma Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.111106,unrelated,ekonomi|siyaset
İzmir'da sıcaklık 38 dereceye ulaştı.,İstanbul'da sıcaklık 35 dereceye ulaştı.,0.690055,related,hava
Fenerbahçe teknik direktörüyle yollarını ayırdı.,fenomen isim eşinden boşandığını duyurdu.,0.338056,unrelated,spor|magazin
Gaziantep'da iki aracın çarpışması sonucu 6 kişi yaralandı.,Gaziantep'daki trafik kazasında 6 kişi yaralı kurtuldu.,0.900289,paraphrase,asayis
Cumhurbaşkanı Rusya'e resmi ziyarette bulundu.,Tarım ve Orman Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,0.134638,related,siyaset
Hollanda iklim zirvesine ev sahipliği yapıyor.,Bolu'da sıcaklık 36 dereceye ulaştı.,0.342122,unrelated,dunya|hava
Ankara'a mevsimin ilk karı düştü.,"fenomen isim, Mersin'da tatilde görüntülendi.",0.23107,unrelated,hava|magazin
koalisyon ortağı yeni yasa teklifini meclise sundu.,popüler sunucu sürpriz bir törenle dünyaevine girdi.,0.191621,unrelated,siyaset|magazin
İçişleri Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Muğla'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.12851,unrelated,siyaset|asayis
Uzmanlar alerji vakalarındaki artışa dikkat çekti.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.314313,related,saglik
Ankara'da çıkan yangın itfaiye ekiplerince söndürüldü.,İstanbul'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.840448,related,asayis
"Antalyaspor, yıldız futbolcuyla sözleşme yeniledi.",Diyarbakır'da meydana gelen trafik kazasında 5 kişi yaralandı.,0.094456,unrelated,spor|asayis
Borsa İstanbul günü yüzde 32 değişimle kapattı.,sevilen komedyen yeni projesiyle ekranlara dönüyor.,0.052538,unrelated,ekonomi|magazin
"Hatayspor, tecrübeli oyuncuyla anlaşmaya vardı.",Hatayspor deneyimli futbolcuyu kadrosuna kattı.,0.809591,paraphrase,spor
Mersin'da sıcaklık 41 dereceye ulaştı.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.111981,unrelated,hava|saglik
Ankara'da bir binada çıkan yangın kısa sürede kontrol altına alındı.,Ankara'daki yangın itfaiyenin müdahalesiyle söndürüldü.,0.834327,paraphrase,asayis
"Başakşehir, ligi lider tamamlayarak şampiyonluğa ulaştı.",Başakşehir sezonu zirvede bitirip şampiyon oldu.,0.881717,paraphrase,spor
Samsun'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,"Alanyaspor, sahasında Trabzonspor'yi 4-3 mağlup etti.",0.132944,unrelated,asayis|spor
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Sakarya'a mevsimin ilk karı düştü.,0.113683,unrelated,saglik|hava
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Sakarya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.125282,unrelated,teknoloji|asayis
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,Teknoloji şirketi yeni giyilebilir cihaz tanıttı.,0.649636,related,teknoloji
Popüler uygulama yapay zeka modeli için yeni güncelleme yayınladı.,Meteoroloji Kayseri için kuvvetli yağış uyarısı yaptı.,0.176097,unrelated,teknoloji|hava
genç oyuncu eşinden boşandığını duyurdu.,"Başakşehir, yıldız futbolcuyla sözleşme yeniledi.",0.21384,unrelated,magazin|spor
İngiltere'de yapılan seçimleri muhalefet kazandı.,Merkez Bankası politika faizini sabit tuttu.,0.175784,unrelated,dunya|ekonomi
Merkez Bankası politika faizini sabit tuttu.,Soğan fiyatları son bir ayda yüzde 12 arttı.,0.214697,related,ekonomi
İspanya'de yapılan seçimleri muhalefet kazandı.,Dolar kuru güne yüzde 22 yükselişle başladı.,0.141894,unrelated,dunya|ekonomi
Mersin'da sıcaklık 41 dereceye ulaştı.,Samsun'a mevsimin ilk karı düştü.,0.206565,related,hava
Patates fiyatları son bir ayda yüzde 37 arttı.,Dolar kuru güne yüzde 15 yükselişle başladı.,0.386205,related,ekonomi
Denizli'da çıkan yangın itfaiye ekiplerince söndürüldü.,sevilen komedyen sürpriz bir törenle dünyaevine girdi.,0.136559,unrelated,asayis|magazin
Çin'de yapılan seçimleri muhalefet kazandı.,Hollanda iklim zirvesine ev sahipliği yapıyor.,0.081609,related,dunya
Muğla'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,İspanya'de yapılan seçimleri muhalefet kazandı.,0.189894,unrelated,asayis|dunya
Meteoroloji Mersin için kuvvetli yağış uyarısı yaptı.,Cumhurbaşkanı Japonya'e resmi ziyarette bulundu.,0.13838,unrelated,hava|siyaset
İzmir'da meydana gelen trafik kazasında 1 kişi yaralandı.,İspanya'de meydana gelen depremde maddi hasar oluştu.,0.35169,unrelated,asayis|dunya
Muğla'da çıkan yangın itfaiye ekiplerince söndürüldü.,Rusya'de meydana gelen depremde maddi hasar oluştu.,0.351975,unrelated,asayis|dunya
Dolar kuru güne yüzde 10 yükselişle başladı.,Dolar kuru güne yüzde 11 yükselişle başladı.,0.787472,related,ekonomi
"Gaziantep FK, Alanyaspor karşısında sahadan 2-1 galip ayrıldı.",Gaziantep FK evinde Alanyaspor'yi 2-1'lik skorla yendi.,0.910291,paraphrase,spor
"Samsunspor, Bodrum FK karşısında sahadan 1-2 galip ayrıldı.",Samsunspor evinde Bodrum FK'yi 1-2'lik skorla yendi.,0.906691,paraphrase,spor
Fenomen isim eşiyle Mersin'da tatil yaparken görüntülendi.,Fenomen isim ve eşinin Mersin tatilinden kareler paylaşıldı.,0.942949,paraphrase,magazin
Çay fiyatları son bir ayda yüzde 22 arttı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.187774,unrelated,ekonomi|saglik
Dolar kuru güne yüzde 20 yükselişle başladı.,ünlü şarkıcı yeni projesiyle ekranlara dönüyor.,0.152569,unrelated,ekonomi|magazin
Merkez Bankası politika faizini sabit tuttu.,Meteoroloji İzmir için kuvvetli yağış uyarısı yaptı.,0.172627,unrelated,ekonomi|hava
Uzmanlar yüksek tansiyon vakalarındaki artışa dikkat çekti.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.34154,related,saglik
Alerji vakalarında son haftalarda belirgin artış görüldü.,Sağlık yetkilileri alerji vakalarının yükseldiğini bildirdi.,0.638326,paraphrase,saglik
"ödüllü yönetmen, Eskişehir'da tatilde görüntülendi.",sevilen sanatçı eşinden boşandığını duyurdu.,0.259344,related,magazin
Yıllık enflasyon yüzde 30 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 30 olarak duyurdu.,0.95182,paraphrase,ekonomi
Merkez Bankası politika faizini sabit tuttu.,İtalya'de meydana gelen depremde maddi hasar oluştu.,0.166459,unrelated,ekonomi|dunya
Teknoloji şirketi yeni yapay zeka modeli tanıttı.,"genç oyuncu, Adana'da tatilde görüntülendi.",0.056665,unrelated,teknoloji|magazin
Meteoroloji Samsun için kuvvetli yağış uyarısı yaptı.,Bursa'da sıcaklık 31 dereceye ulaştı.,0.301707,related,hava
sevilen sanatçı sürpriz bir törenle dünyaevine girdi.,"ünlü model, Muğla'da tatilde görüntülendi.",0.288337,related,magazin
Bursa'da iki aracın çarpışması sonucu 3 kişi yaralandı.,Bursa'daki trafik kazasında 3 kişi yaralı kurtuldu.,0.909717,paraphrase,asayis
Ünlü sunucu eşiyle Denizli'da tatil yaparken görüntülendi.,Ünlü sunucu ve eşinin Denizli tatilinden kareler paylaşıldı.,0.958347,paraphrase,magazin
"Kasımpaşa, yıldız futbolcuyla sözleşme yeniledi.",Eskişehir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,0.147777,unrelated,spor|asayis
pop yıldızı yeni projesiyle ekranlara dönüyor.,Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,0.200586,unrelated,magazin|siyaset
Dolar kuru güne yüzde 26 yükselişle başladı.,Merkez Bankası politika faizini sabit tuttu.,0.262895,related,ekonomi
Konya'da iki aracın çarpışması sonucu 4 kişi yaralandı.,Konya'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.893579,paraphrase,asayis
Pirinç fiyatları son bir ayda yüzde 38 arttı.,Kayserispor teknik direktörüyle yollarını ayırdı.,0.028059,unrelated,ekonomi|spor
İzmir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,ana muhalefet partisi yeni yasa teklifini meclise sundu.,0.095298,unrelated,asayis|siyaset
"Göztepe, tecrübeli oyuncuyla anlaşmaya vardı.",Göztepe deneyimli futbolcuyu kadrosuna kattı.,0.684092,paraphrase,spor
Gaziantep ve çevresi için sağanak yağış bekleniyor.,Meteoroloji Gaziantep için sağanak uyarısında bulundu.,0.731986,paraphrase,hava
genç oyuncu sürpriz bir törenle dünyaevine girdi.,Cumhurbaşkanı Fransa'e resmi ziyarette bulundu.,0.233336,unrelated,magazin|siyaset
Diyarbakır'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Teknoloji şirketi yeni işletim sistemi tanıttı.,0.095205,unrelated,asayis|teknoloji
Gaziantep'da iki aracın çarpışması sonucu 2 kişi yaralandı.,Gaziantep'daki trafik kazasında 2 kişi yaralı kurtuldu.,0.894116,paraphrase,asayis
Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,Ankara'a mevsimin ilk karı düştü.,0.118337,unrelated,saglik|hava
İtalya'de yapılan seçimleri muhalefet kazandı.,Konya'da çıkan yangın itfaiye ekiplerince söndürüldü.,0.16791,unrelated,dunya|asayis
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Almanya'de yapılan seçimleri muhalefet kazandı.,0.02462,unrelated,teknoloji|dunya
"ünlü şarkıcı, Konya'da tatilde görüntülendi.",ünlü oyuncu yeni projesiyle ekranlara dönüyor.,0.230291,related,magazin
Aydın'da meydana gelen trafik kazasında 4 kişi yaralandı.,pop yıldızı sürpriz bir törenle dünyaevine girdi.,0.116995,unrelated,asayis|magazin
Teknoloji şirketi yeni işletim sistemi tanıttı.,Ankara'da sıcaklık 30 dereceye ulaştı.,0.113343,unrelated,teknoloji|hava
Ünlü şarkıcı yeni bir aşka yelken açtı.,Ünlü şarkıcı yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.874275,paraphrase,magazin
İzmir'da iki aracın çarpışması sonucu 4 kişi yaralandı.,İzmir'daki trafik kazasında 4 kişi yaralı kurtuldu.,0.896757,paraphrase,asayis
"genç oyuncu, Denizli'da tatilde görüntülendi.",Merkez Bankası politika faizini sabit tuttu.,0.122023,unrelated,magazin|ekonomi
Cumhurbaşkanı İngiltere'e resmi ziyarette bulundu.,Çin iklim zirvesine ev sahipliği yapıyor.,0.188947,unrelated,siyaset|dunya
Gaziantep FK teknik direktörüyle yollarını ayırdı.,Meteoroloji Aydın için kuvvetli yağış uyarısı yaptı.,0.042488,unrelated,spor|hava
Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,0.165329,related,teknoloji
Muğla'da meydana gelen trafik kazasında 4 kişi yaralandı.,Dolar kuru güne yüzde 5 yükselişle başladı.,0.16197,unrelated,asayis|ekonomi
Eskişehir'da düzenlenen operasyonda çok sayıda şüpheli gözaltına alındı.,Fransa'de meydana gelen depremde maddi hasar oluştu.,0.159138,unrelated,asayis|dunya
Gaziantep'da sıcaklık 35 dereceye ulaştı.,Popüler uygulama oyun konsolu için yeni güncelleme yayınladı.,0.120512,unrelated,hava|teknoloji
Sevilen sanatçı yeni bir aşka yelken açtı.,Sevilen sanatçı yeni sevgilisiyle ilk kez birlikte görüntülendi.,0.860269,paraphrase,magazin
Ünlü şarkıcı eşiyle Muğla'da tatil yaparken görüntülendi.,Ünlü şarkıcı ve eşinin Muğla tatilinden kareler paylaşıldı.,0.959715,paraphrase,magazin
Antalyaspor'nin kaptanı sakatlığı nedeniyle kadroda yer alamadı.,Uzmanlar dengeli beslenmenin önemine vurgu yaptı.,0.090887,unrelated,spor|saglik
Milli Eğitim Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Cumhurbaşkanı Japonya'e resmi ziyarette bulundu.,0.135732,related,siyaset
Popüler uygulama elektrikli otomobil için yeni güncelleme yayınladı.,Çay fiyatları son bir ayda yüzde 21 arttı.,0.198069,unrelated,teknoloji|ekonomi
Cumhurbaşkanı Hollanda'e resmi ziyarette bulundu.,Cumhurbaşkanı Yunanistan'e resmi ziyarette bulundu.,0.635975,related,siyaset
sevilen komedyen sürpriz bir törenle dünyaevine girdi.,ünlü sunucu yeni projesiyle ekranlara dönüyor.,0.317383,related,magazin
ünlü sunucu sürpriz bir törenle dünyaevine girdi.,Merkez Bankası politika faizini sabit tuttu.,0.131259,unrelated,magazin|ekonomi
Peynir fiyatları son bir ayda yüzde 23 arttı.,Meteoroloji Adana için kuvvetli yağış uyarısı yaptı.,0.132116,unrelated,ekonomi|hava
Meteoroloji İstanbul için kuvvetli yağış uyarısı yaptı.,Meteoroloji Konya için kuvvetli yağış uyarısı yaptı.,0.788766,related,hava
Popüler sunucu eşiyle Sakarya'da tatil yaparken görüntülendi.,Popüler sunucu ve eşinin Sakarya tatilinden kareler paylaşıldı.,0.964122,paraphrase,magazin
"Göztepe, sahasında Sivasspor'yi 2-3 mağlup etti.",Aydın'da meydana gelen trafik kazasında 2 kişi yaralandı.,0.265394,unrelated,spor|asayis
İçişleri Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,Yunanistan iklim zirvesine ev sahipliği yapıyor.,0.044264,unrelated,siyaset|dunya
"Alanyaspor, sahasında Trabzonspor'yi 3-1 mağlup etti.",Beşiktaş teknik direktörüyle yollarını ayırdı.,0.188231,related,spor
Yıllık enflasyon yüzde 11 olarak açıklandı.,TÜİK yıllık enflasyonu yüzde 11 olarak duyurdu.,0.960267,paraphrase,ekonomi
sevilen komedyen yeni projesiyle ekranlara dönüyor.,Sağlık Bakanlığı yeni aşılama kampanyasını başlattı.,0.386911,unrelated,magazin|saglik
Sakarya'da iki aracın çarpışması sonucu 5 kişi yaralandı.,Sakarya'daki trafik kazasında 5 kişi yaralı kurtuldu.,0.913479,paraphrase,asayis
İtalya'de yapılan seçimleri muhalefet kazandı.,Dolar kuru güne yüzde 8 yükselişle başladı.,0.173845,unrelated,dunya|ekonomi
Enerji Bakanlığı yeni düzenlemeyi kamuoyuyla paylaştı.,İtalya'de yapılan seçimleri muhalefet kazandı.,0.120542,unrelated,siyaset|dunya
Cumhurbaşkanı Çin'e resmi ziyarette bulundu.,Şirket yapay zeka alanına milyar dolarlık yatırım yapacağını açıkladı.,0.139815,unrelated,siyaset|teknoloji
Popüler uygulama giyilebilir cihaz için yeni güncelleme yayınladı.,Diyarbakır'da meydana gelen trafik kazasında 1 kişi yaralandı.,0.140364,unrelated,teknoloji|asayis
ABD'de yapılan seçimleri muhalefet kazandı.,ABD iklim zirvesine ev sahipliği yapıyor.,0.281006,related,dunya
