sentence1,sentence2,score
Yapay zeka destekli tanı sistemi hastanelerde kullanılmaya başlandı.,"Hastaneler, hastalık teşhisinde yapay zekadan faydalanmaya başladı.",0.867179
"Şirket, yapay zeka etik kurallarını yeniden belirledi.","Firma, AI kullanımına dair yeni etik ilkeler yayımladı.",0.841103
Yapay zeka alanında binlerce yeni iş ilanı açıldı.,AI sektöründe istihdam hızla artış gösterdi.,0.708975
Hükümet yapay zeka düzenlemesi için yasa taslağı hazırladı.,Yapay zekaya ilişkin yeni yasal çerçeve gündeme geldi.,0.66997
BTK Akademi Yaz Dönemi Eğitimleri Hız Kesmeden Devam Ediyor.,"Yapay zekâdan daha fazla verim almanın yolu, yalnızca daha iyi prompt yazmayı öğrenmek mi?",0.252611
Siber güvenlik alanındaki kendimi geliştirme yolculuğumda önemli bir adımı daha tamamlamış olmanın mutluluğunu yaşıyorum.,Dünya savaşında batan savaş gemisi yeniden görüldü.,0.165349
Pegasus yurtdışı ucuz bilet kampanyası başladı.,Balkonlara pet şişe bırakın çağrısı yapıldı.,0.326882
Ödeme emrine borçlu 7 gün içinde itiraz edebilir.,Tapu iptali ve tescil davası Asliye Hukuk Mahkemesi’nde açılır.,0.374089
Tapu iptali ve tescil davası Asliye Hukuk Mahkemesi’nde açılır.,"İtirazın iptali davası, itirazın tebliğinden itibaren 1 yıl içinde açılmalıdır.",0.464407
"Enflasyonun %60'tan %30'a inmesi, fiyatların düştüğü anlamına gelmiyor.",Bitcoin dijital altın olma yolunda ilerliyor.,0.099956
"Enflasyonun %60'tan %30'a inmesi, fiyatların düştüğü anlamına gelmiyor.",Apple iphone ürünlerine zam yapacağını açıkladı.,0.235099
Geçen yıl tek celsede eşini boşayan ünlü şarkıcı yeni bir aşka yelken açtı.,"Milletler Ligi Şampiyonu Sultanlarımız, yurda döndü",0.119069
Bir gün senin videolarının rehberliğinde aynı şekilde bende gezgin olmak istiyorum,Antepte oturduğum yerde dünyayı bana gezdiriyorsunuz.,0.514754
"Pirinç tarlası demek; Sivri sinek, kurbağa, yılan, balçık, romatizma demek.","Deniz kıyısındaki bu kasabada insanlar içki içer, suar ve birbirlerine yavaş yavaş çürümeyi öğretir.",0.191465
